,u,w,n,agent,Ticket
356,[0.479],268.927,1,Agent D,True
357,[0.4941],229.9988,1,Agent A,True
358,[0.375],204.805,1,Agent A,True
359,[0.4392],260.6712,1,Agent D,True
360,[0.5954],258.8571,1,Agent C,True
361,[0.7376],299.9259,1,Agent B,True
362,"[0.8351, 0.3122]",237.4502,2,Agent D,True
363,[0.1343],184.9403,1,Agent D,True
364,[0.6044],275.5645,1,Agent B,True
365,[0.0454],134.5432,1,Agent B,True
366,"[0.8656, 0.2937]",233.0426,2,Agent D,True
367,[0.7533],278.6963,1,Agent A,True
368,[0.192],183.8752,1,Agent B,True
369,[0.4729],249.6769,1,Agent B,True
370,[0.2992],229.3624,1,Agent D,True
371,[0.4596],246.9326,1,Agent B,True
372,[0.1754],197.2023,1,Agent D,True
373,[0.6327],280.8791,1,Agent B,True
374,[0.0109],133.7986,1,Agent D,True
375,[0.0161],95.3025,1,Agent A,True
376,[0.2691],222.0354,1,Agent D,True
377,[0.4079],254.002,1,Agent D,True
378,"[0.9163, 0.7103]",300.0612,2,Agent B,True
379,[0.0065],97.359,1,Agent C,True
380,"[0.9355, 0.193]",165.1523,2,Agent A,True
381,[0.524],277.9907,1,Agent D,True
382,[0.3971],218.6615,1,Agent C,True
383,"[0.8302, 0.6753]",311.7321,2,Agent D,True
384,[0.1771],164.6874,1,Agent C,True
385,[0.0488],154.0497,1,Agent D,True
386,[0.6781],289.2424,1,Agent B,True
387,[0.0406],108.3506,1,Agent A,True
388,[0.4204],256.6851,1,Agent D,True
389,[0.2169],208.6398,1,Agent D,True
390,[0.5046],274.1164,1,Agent D,True
391,"[0.8613, 0.2336]",218.0318,2,Agent D,True
392,[0.7385],318.0852,1,Agent D,True
393,"[0.8659, 0.9652, 0.1473]",180.9391,3,Agent B,True
394,[0.0626],141.8379,1,Agent B,True
395,[0.0169],104.8053,1,Agent C,True
396,[0.5264],260.4667,1,Agent B,True
397,[0.7634],322.4684,1,Agent D,True
398,[0.0095],132.7653,1,Agent D,True
399,[0.5474],264.6008,1,Agent B,True
400,"[0.8406, 0.0878]",156.4105,2,Agent B,True
401,[0.3046],188.6504,1,Agent A,True
402,[0.7249],297.6704,1,Agent B,True
403,[0.3764],205.1155,1,Agent A,True
404,[0.0887],136.7339,1,Agent C,True
405,"[0.813, 0.8544, 0.8085]",15.0,3,No agent reached,False
406,[0.5752],287.9933,1,Agent D,True
407,[0.4662],248.2977,1,Agent B,True
408,"[0.9128, 0.0177]",143.3002,2,Agent D,True
409,[0.3658],244.7553,1,Agent D,True
410,[0.1727],163.4285,1,Agent C,True
411,[0.1182],179.8038,1,Agent D,True
412,[0.4965],230.4841,1,Agent A,True
413,[0.2065],187.8477,1,Agent B,True
414,"[0.8444, 0.7919, 0.1309]",160.8735,3,Agent C,True
415,[0.5029],273.7746,1,Agent D,True
416,"[0.9156, 0.4748]",255.0669,2,Agent B,True
